1999-11-18,30.713,33.754,27.002,29.702,66277506,0
1999-11-19,28.986,29.027,26.872,27.257,16142920,0
1999-11-22,27.886,29.702,27.044,29.702,6970266,0
1999-11-23,28.688,29.446,27.002,27.002,6332082,0
1999-11-24,27.083,28.309,27.002,27.717,5132147,0
1999-11-26,27.594,28.012,27.509,27.807,1832635,0
1999-11-29,27.676,28.65,27.38,28.432,4317826,0
1999-11-30,28.35,28.986,27.634,28.48,4567146,0
1999-12-01,28.48,29.324,28.273,28.986,3133746,0
1999-12-02,29.532,30.375,29.155,29.786,3252997,0
1999-12-03,30.336,30.842,29.909,30.039,3223074,0
1999-12-06,30.547,31.348,30.505,30.883,2385046,0
1999-12-07,30.883,31.052,29.909,30.547,2348161,0
1999-12-08,30.547,30.795,30.249,30.505,2000481,0
1999-12-09,30.547,31.012,30.547,30.924,2150096,0
1999-12-10,30.842,31.012,30.209,30.209,1764043,0
1999-12-13,30.713,31.221,29.958,30.713,4260349,0
1999-12-14,30.635,30.635,28.391,29.027,2467856,0
1999-12-15,28.35,28.561,27.676,28.142,3091820,0
